,Place,city,County,lat,lon,cordinates,Location,_id
148,Shree Ramnathi Temple,Goa,India,15.3988816,73.9809862,"(15.3988816, 73.9809862)","Shree Ramnathi Temple,Goa,India",228372785011035549967034528263735757296
149,Gateshwar Temple,Goa,India,15.595030800000002,73.7973954,"(15.595030800000002, 73.7973954)","Gateshwar Temple,Goa,India",51726045482611419448787937303777966733
150,Durga Temple,Goa,India,15.861681400000002,74.5244697,"(15.861681400000002, 74.5244697)","Durga Temple,Goa,India",259321490224458126720279614001578331540
151,Saraswati Temple,Goa,India,15.393346300000001,74.0027502,"(15.393346300000001, 74.0027502)","Saraswati Temple,Goa,India",242692531994324107393212053427501720018
152,Temple,Goa,India,15.496191199999998,73.8265689,"(15.496191199999998, 73.8265689)","Temple,Goa,India",90220490554332337485796579121562782520
153,Shantadurga Temple,Goa,India,15.507970000000002,73.802595,"(15.507970000000002, 73.802595)","Shantadurga Temple,Goa,India",45721027560444454270422090493228929713
154,Brahmindeo Temple,Goa,India,16.3735131,73.38200340000002,"(16.3735131, 73.38200340000002)","Brahmindeo Temple,Goa,India",25052286868761438464949310447488953420
155,Kunkeswhwar Temple,Goa,India,16.3337856,73.3920838,"(16.3337856, 73.3920838)","Kunkeswhwar Temple,Goa,India",303132019517968184322232146858023826866
156,Temple Tree,Goa,India,15.174968,73.947273,"(15.174968, 73.947273)","Temple Tree,Goa,India",207653500846984508634374818113406265500
157,Shri Shantadurga Chamundeshwari Kudtari Mahamaya Temple,Goa,India,15.228570999999999,74.05411,"(15.228570999999999, 74.05411)","Shri Shantadurga Chamundeshwari Kudtari Mahamaya Temple,Goa,India",239110584807491264837604120640005230117
158,Shanta Durga Temple,Goa,India,15.508026999999998,73.803223,"(15.508026999999998, 73.803223)","Shanta Durga Temple,Goa,India",263278327369523831610216564582985496734
159,Sateri Temple,Goa,India,15.417420000000002,74.189026,"(15.417420000000002, 74.189026)","Sateri Temple,Goa,India",225469114465036122698321781599098812792
160,Shankar Parvati Temple,Goa,India,15.396455,73.9971,"(15.396455, 73.9971)","Shankar Parvati Temple,Goa,India",255219803254120102653557251942040335432
161,Shiv Temple,Goa,India,15.256967999999999,74.060182,"(15.256967999999999, 74.060182)","Shiv Temple,Goa,India",92780609934649974488139556458975109388
162,Shree Krishna Temple,Goa,India,15.194222,73.99347,"(15.194222, 73.99347)","Shree Krishna Temple,Goa,India",243199206717233072048718264442433333282
163,Damodar Temple,Goa,India,15.280375,73.95708499999998,"(15.280375, 73.95708499999999)","Damodar Temple,Goa,India",8022711877327618582010549841921454521
164,Sri Damodar Temple,Goa,India,15.276260999999998,73.95700040000001,"(15.276260999999998, 73.95700040000001)","Sri Damodar Temple,Goa,India",53733243045779136753588783913130755367
165,Shri Sateri Temple,Goa,India,15.267667000000001,74.08405,"(15.267667000000001, 74.08405)","Shri Sateri Temple,Goa,India",271705779896894460812140285625212634458
166,Shri Someshwara Temple,Goa,India,15.335714300000001,74.7530617,"(15.335714300000001, 74.7530617)","Shri Someshwara Temple,Goa,India",287590870620376124913263661689306365550
167,Bhraman Dev Temple,Goa,India,15.632515900000001,73.7666115,"(15.632515900000001, 73.7666115)","Bhraman Dev Temple,Goa,India",202068650442825823770020447113725489259
168,Milroc Temple Towers,Goa,India,15.4882206,73.86373640000002,"(15.4882206, 73.86373640000001)","Milroc Temple Towers,Goa,India",248676531802430927752127848729560887301
169,Shri Shantadurga Chamundeshwari Temple,Goa,India,15.290657699999999,74.0197488,"(15.290657699999999, 74.0197488)","Shri Shantadurga Chamundeshwari Temple,Goa,India",306804777916809740130984310819687133602
170,Maule Temple,Goa,India,15.715949599999998,73.7886188,"(15.715949599999998, 73.7886188)","Maule Temple,Goa,India",176611847731880865962253888097906833516
171,Sai Baba Temple,Goa,India,15.561829099999999,74.0102964,"(15.561829099999999, 74.0102964)","Sai Baba Temple,Goa,India",103536722775447048542990521936952435777
172,Temple Park morjim,Goa,India,15.6362797,73.7397903,"(15.6362797, 73.7397903)","Temple Park morjim,Goa,India",312053531270348535542041677616710450513
173,Temple Park,Goa,India,15.636443599999998,73.7399975,"(15.636443599999998, 73.7399975)","Temple Park,Goa,India",197610793081968468647952198443684207758
174,Dattatraya Temple,Goa,India,15.335558800000001,74.11617240000002,"(15.335558800000001, 74.11617240000001)","Dattatraya Temple,Goa,India",155279452692127987491296382071013921812
175,Rudreshwar Temple,Goa,India,15.493555800000001,73.8211579,"(15.493555800000001, 73.8211579)","Rudreshwar Temple,Goa,India",123088036465610683831565205513731747534
