City,County,Place,lat,lon,rest_id,Location
Goa,India,Hotel Pratibha Bar And Restaurant,15.609814000000002,73.82441800000002,10403061195633017866,"Hotel Pratibha Bar And Restaurant,Goa,India"
Goa,India,Maria Bar & Restaurant,15.62629,73.858665,14671941772478596465,"Maria Bar & Restaurant,Goa,India"
Goa,India,Aroma Bar and Restaurant,15.282646,73.95737,8597731549253092683,"Aroma Bar and Restaurant,Goa,India"
Goa,India,Rajasthani Restaurant & Dhaba,15.392448000000002,74.021214,6412915952695725170,"Rajasthani Restaurant & Dhaba,Goa,India"
Goa,India,Cafe Mouaz Veg & Non Veg Restaurant,15.488397,73.818563,7287702887762511597,"Cafe Mouaz Veg & Non Veg Restaurant,Goa,India"
Goa,India,Contihino Bar and Restaurant,15.397698000000002,73.91690899999998,11743313566733781819,"Contihino Bar and Restaurant,Goa,India"
Goa,India,Satisfy Bar & Restaurant,15.523467000000002,73.95750699999998,5705987079968343132,"Satisfy Bar & Restaurant,Goa,India"
Goa,India,Filsus Wines & Restaurant,15.4077234,73.90858659999998,18239062166125956560,"Filsus Wines & Restaurant,Goa,India"
Goa,India,Flavors Cafe Bar & Restaurant,15.451579,73.923488,2072089815492478265,"Flavors Cafe Bar & Restaurant,Goa,India"
Goa,India,Earthen Pot Restaurant,15.530651,74.13121899999999,15598037065687254143,"Earthen Pot Restaurant,Goa,India"
Goa,India,"Sheetal Bar & Restaurant, Authentic Goan Food",15.544355,74.056104,2225412193128367934,"Sheetal Bar & Restaurant, Authentic Goan Food,Goa,India"
Goa,India,Vishant Bar And Restaurant,15.398384,73.84306,9008187090343183065,"Vishant Bar And Restaurant,Goa,India"
Goa,India,Kurtikar Bar & Restaurant,15.397453,73.84626,2097080232195277258,"Kurtikar Bar & Restaurant,Goa,India"
Goa,India,Venice Bar & Restaurant,15.272466,73.959168,12045471354913637787,"Venice Bar & Restaurant,Goa,India"
Goa,India,Navtara Pure Veg Restaurant - Panjim,15.49941,73.82309599999998,13438414362607701919,"Navtara Pure Veg Restaurant - Panjim,Goa,India"
Goa,India,Moon Family Bar and Resturant,15.504384,73.862703,757135750811352,"Moon Family Bar and Resturant,Goa,India"
Goa,India,Infantaria Pastalaria Restaurant,15.545343,73.770484,12734120991989909300,"Infantaria Pastalaria Restaurant,Goa,India"
Goa,India,Happy Punjab Dhaba Bar and Restaurant,15.686572,73.83159,15622065145404342940,"Happy Punjab Dhaba Bar and Restaurant,Goa,India"
Goa,India,Hot Spice Family Restaurent,15.505118,73.863519,9253462174769171070,"Hot Spice Family Restaurent,Goa,India"
Goa,India,Prime Bar N Rest (Specializes In Sea Food),15.5941109,73.7601153,3330916661964261760,"Prime Bar N Rest (Specializes In Sea Food),Goa,India"
Goa,India,Adarsh Bar & Restaurant,15.593067,73.94497199999998,10886025621364295071,"Adarsh Bar & Restaurant,Goa,India"
Goa,India,White Rock Bar & Restaurant,15.600699,73.93809,6833489879552641506,"White Rock Bar & Restaurant,Goa,India"
Goa,India,Hotel Shaurya Family Bar & Restaurant,15.501848999999998,73.861334,4250104916320535352,"Hotel Shaurya Family Bar & Restaurant,Goa,India"
Goa,India,Devata Bar & Restaurant,15.502716,73.86930699999998,12472177139844137477,"Devata Bar & Restaurant,Goa,India"
Goa,India,Sai Shradha Restaurant,15.506589000000002,73.824564,6114384142440022433,"Sai Shradha Restaurant,Goa,India"
Goa,India,Rock - Inn Bar & Restaurant,15.528641,73.906391,6319268558952874433,"Rock - Inn Bar & Restaurant,Goa,India"
